Year,CompanyName,Country,Industry(Exiobase),EnvironmentalIntensity(Sales),Env_intensity,industry_avg,Industry_indicator,industry_avg_year,Industry_indicator_year,Environmental_Growth
2010, CASIO COMPUTER COMPANY LIMITED , Japan , Computer and related activities (72) ,-0.59%,-0.0059,-0.007459477124183003,1,-0.006941666666666666,1,
2011, CASIO COMPUTER COMPANY LIMITED , Japan , Computer and related activities (72) ,-0.39%,-0.0039000000000000003,-0.007459477124183003,1,-0.00786923076923077,1,-33.89830508474576
2012, CASIO COMPUTER COMPANY LIMITED , Japan , Computer and related activities (72) ,-0.40%,-0.004,-0.007459477124183003,1,-0.007115384615384616,1,2.564102564102555
2013, CASIO COMPUTER COMPANY LIMITED , Japan , Computer and related activities (72) ,-0.50%,-0.005,-0.007459477124183003,1,-0.008449019607843139,1,25.0
2014, CASIO COMPUTER COMPANY LIMITED , Japan , Computer and related activities (72) ,-0.43%,-0.0043,-0.007459477124183003,1,-0.008566666666666667,1,-14.000000000000002
2015, CASIO COMPUTER COMPANY LIMITED , Japan , Computer and related activities (72) ,-0.42%,-0.0042,-0.007459477124183003,1,-0.006508928571428573,1,-2.3255813953488413
2016, CASIO COMPUTER COMPANY LIMITED , Japan , Computer and related activities (72) ,-0.42%,-0.0042,-0.007459477124183003,1,-0.005433333333333333,1,0.0
2010, CASTELLUM AB , Sweden , Real estate activities (70) ,-1.90%,-0.019,-0.09353862275449104,1,-0.1175357142857143,1,
2011, CASTELLUM AB , Sweden , Real estate activities (70) ,-1.60%,-0.016,-0.09353862275449104,1,-0.12686428571428573,1,-15.78947368421052
2012, CASTELLUM AB , Sweden , Real estate activities (70) ,-1.63%,-0.0163,-0.09353862275449104,1,-0.08541800000000001,1,1.8749999999999822
2013, CASTELLUM AB , Sweden , Real estate activities (70) ,-1.32%,-0.0132,-0.09353862275449104,1,-0.08511311475409836,1,-19.01840490797545
2014, CASTELLUM AB , Sweden , Real estate activities (70) ,-1.20%,-0.012,-0.09353862275449104,1,-0.08982537313432834,1,-9.090909090909093
2015, CASTELLUM AB , Sweden , Real estate activities (70) ,-0.98%,-0.0098,-0.09353862275449104,1,-0.08339200000000001,1,-18.333333333333336
2016, CATALENT INC , United States ," Manufacture of medical, precision and optical instruments, watches and clocks (33) ",-4.43%,-0.0443,-0.01728222891566265,-1,-0.016542857142857144,-1,
2015, CATCHER TECHNOLOGY COMPANY , Taiwan , Manufacture of office machinery and computers (30) ,-0.48%,-0.0048,-0.014735897435897436,1,-0.014506666666666668,1,
2010, CATHAY PACIFIC AIRWAYS LTD , Hong Kong , Air transport (62) ,-23.78%,-0.2378,-0.19551538461538465,-1,-0.1996571428571429,-1,
2011, CATHAY PACIFIC AIRWAYS LTD , Hong Kong , Air transport (62) ,-22.31%,-0.2231,-0.19551538461538465,-1,-0.20378461538461534,-1,-6.181665264928515
2012, CATHAY PACIFIC AIRWAYS LTD , Hong Kong , Air transport (62) ,-21.40%,-0.214,-0.19551538461538465,-1,-0.17058888888888887,-1,-4.078888390856116
2013, CATHAY PACIFIC AIRWAYS LTD , Hong Kong , Air transport (62) ,-19.85%,-0.1985,-0.19551538461538465,-1,-0.183245,-1,-7.242990654205606
2014, CATHAY PACIFIC AIRWAYS LTD , Hong Kong , Air transport (62) ,-21.12%,-0.2112,-0.19551538461538465,-1,-0.21016363636363639,-1,6.397984886649866
2015, CATHAY PACIFIC AIRWAYS LTD , Hong Kong , Air transport (62) ,-20.50%,-0.205,-0.19551538461538465,-1,-0.19411153846153845,-1,-2.9356060606060663
2011, CBRE GROUP INCORPORATED , United States , Real estate activities (70) ,-0.27%,-0.0027,-0.09353862275449104,1,-0.12686428571428573,1,
2012, CBRE GROUP INCORPORATED , United States , Real estate activities (70) ,-0.30%,-0.003,-0.09353862275449104,1,-0.08541800000000001,1,11.111111111111116
2013, CBRE GROUP INCORPORATED , United States , Real estate activities (70) ,-0.24%,-0.0024,-0.09353862275449104,1,-0.08511311475409836,1,-20.000000000000007
2013, CEBU HOLDINGS INCORPORATED , Philippines , Real estate activities (70) ,-7.60%,-0.076,-0.09353862275449104,1,-0.08511311475409836,1,
2014, CEBU HOLDINGS INCORPORATED , Philippines , Real estate activities (70) ,-6.96%,-0.0696,-0.09353862275449104,1,-0.08982537313432834,1,-8.421052631578952
2015, CEBU HOLDINGS INCORPORATED , Philippines , Real estate activities (70) ,-4.59%,-0.045899999999999996,-0.09353862275449104,1,-0.08339200000000001,1,-34.05172413793104
2013, CEBU PROPERTY VENTURES & DEVELOPMENT CORPORATION , Philippines , Real estate activities (70) ,-16.35%,-0.1635,-0.09353862275449104,-1,-0.08511311475409836,-1,
2014, CEBU PROPERTY VENTURES & DEVELOPMENT CORPORATION , Philippines , Real estate activities (70) ,-6.13%,-0.0613,-0.09353862275449104,1,-0.08982537313432834,1,-62.50764525993884
2015, CEBU PROPERTY VENTURES & DEVELOPMENT CORPORATION , Philippines , Real estate activities (70) ,-3.19%,-0.0319,-0.09353862275449104,1,-0.08339200000000001,1,-47.96084828711257
2010, CECONOMY AG , Germany ," Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52) ",-1.17%,-0.011699999999999999,-0.01559352331606218,1,-0.017266,1,
2011, CECONOMY AG , Germany ," Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52) ",-1.23%,-0.0123,-0.01559352331606218,1,-0.015813793103448277,1,5.128205128205132
2012, CECONOMY AG , Germany ," Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52) ",-1.21%,-0.0121,-0.01559352331606218,1,-0.013698333333333335,1,-1.6260162601626105
2013, CECONOMY AG , Germany ," Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52) ",-1.18%,-0.0118,-0.01559352331606218,1,-0.014529411764705881,1,-2.4793388429752095
2014, CECONOMY AG , Germany ," Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52) ",-1.17%,-0.011699999999999999,-0.01559352331606218,1,-0.01575072463768116,1,-0.8474576271186529
2013, CELESTICA INCORPORATED , Canada , Manufacture of office machinery and computers (30) ,-1.04%,-0.0104,-0.014735897435897436,1,-0.016228205128205123,1,
2014, CELESTICA INCORPORATED , Canada , Manufacture of office machinery and computers (30) ,-0.97%,-0.0097,-0.014735897435897436,1,-0.02130227272727273,1,-6.730769230769229
2015, CELESTICA INCORPORATED , Canada , Manufacture of office machinery and computers (30) ,-0.81%,-0.008100000000000001,-0.014735897435897436,1,-0.014506666666666668,1,-16.494845360824726
2015, CELLNEX TELECOM SA , Spain , Post and telecommunications (64) ,-6.37%,-0.0637,-0.018382111436950142,-1,-0.019518571428571434,-1,
2013," CELLTRION, INCORPORATION ", South Korea , Research and development (73) ,-6.58%,-0.0658,-0.027154651162790713,-1,-0.02669375,-1,
2015, CEMENTIR HOLDING S.P.A. , Italy , Quarrying of sand and clay ,-166.20%,-1.662,-0.3842978947368422,-1,-0.45486200000000004,-1,
2011, CEMENTOS ARGOS S.A. , Colombia , Quarrying of sand and clay ,-92.26%,-0.9226000000000001,-0.3842978947368422,-1,-0.3821627906976745,-1,
2012, CEMENTOS ARGOS S.A. , Colombia , Quarrying of sand and clay ,-83.08%,-0.8308,-0.3842978947368422,-1,-0.39569111111111105,-1,-9.950140906134841
2013, CEMENTOS ARGOS S.A. , Colombia , Quarrying of sand and clay ,-73.99%,-0.7399,-0.3842978947368422,-1,-0.36756818181818185,-1,-10.941261434761673
2014, CEMENTOS ARGOS S.A. , Colombia , Quarrying of sand and clay ,-93.30%,-0.9329999999999999,-0.3842978947368422,-1,-0.365275,-1,26.09812136775238
2015, CEMENTOS ARGOS S.A. , Colombia , Quarrying of sand and clay ,-97.10%,-0.971,-0.3842978947368422,-1,-0.45486200000000004,-1,4.0728831725616255
2014, CEMEX LATAM HOLDING SA , Colombia , Quarrying of sand and clay ,-90.62%,-0.9062,-0.3842978947368422,-1,-0.365275,-1,
2015, CEMEX LATAM HOLDING SA , Colombia , Quarrying of sand and clay ,-90.18%,-0.9018,-0.3842978947368422,-1,-0.45486200000000004,-1,-0.4855440300154501
2010, CEMEX SAB DE CV , Mexico , Quarrying of sand and clay ,-87.80%,-0.878,-0.3842978947368422,-1,-0.31415000000000004,-1,
2011, CEMEX SAB DE CV , Mexico , Quarrying of sand and clay ,-89.99%,-0.8998999999999999,-0.3842978947368422,-1,-0.3821627906976745,-1,2.4943052391799503
2012, CEMEX SAB DE CV , Mexico , Quarrying of sand and clay ,-71.97%,-0.7197,-0.3842978947368422,-1,-0.39569111111111105,-1,-20.02444716079563
2013, CEMEX SAB DE CV , Mexico , Quarrying of sand and clay ,-87.71%,-0.8771,-0.3842978947368422,-1,-0.36756818181818185,-1,21.870223704321234
2014, CEMEX SAB DE CV , Mexico , Quarrying of sand and clay ,-95.93%,-0.9593,-0.3842978947368422,-1,-0.365275,-1,9.371793410101482
2015, CEMEX SAB DE CV , Mexico , Quarrying of sand and clay ,-106.69%,-1.0669,-0.3842978947368422,-1,-0.45486200000000004,-1,11.21651204002918
2010, CENOVUS ENERGY INC , Canada ," Extraction of crude petroleum and services related to crude oil extraction, excluding surveying ",-9.08%,-0.0908,-0.19797100371747212,1,-0.13494857142857145,1,
2011, CENOVUS ENERGY INC , Canada ," Extraction of crude petroleum and services related to crude oil extraction, excluding surveying ",-8.39%,-0.0839,-0.19797100371747212,1,-0.16747027027027023,1,-7.599118942731275
2012, CENOVUS ENERGY INC , Canada ," Extraction of crude petroleum and services related to crude oil extraction, excluding surveying ",-8.85%,-0.0885,-0.19797100371747212,1,-0.19493095238095237,1,5.48271752085816
2013, CENOVUS ENERGY INC , Canada ," Extraction of crude petroleum and services related to crude oil extraction, excluding surveying ",-9.45%,-0.09449999999999999,-0.19797100371747212,1,-0.20968444444444437,1,6.7796610169491345
2014, CENOVUS ENERGY INC , Canada ," Extraction of crude petroleum and services related to crude oil extraction, excluding surveying ",-12.25%,-0.1225,-0.19797100371747212,1,-0.17749534883720927,1,29.62962962962965
2015, CENOVUS ENERGY INC , Canada ," Extraction of crude petroleum and services related to crude oil extraction, excluding surveying ",-24.07%,-0.2407,-0.19797100371747212,-1,-0.25886415094339627,1,96.48979591836735
2010," CENTERPOINT ENERGY, INC. ", United States , Production of electricity nec ,-71.59%,-0.7159,-0.8072188235294113,1,-0.7831026315789472,1,
2011, CENTERRA GOLD INC. , Canada , Mining of other non-ferrous metal ores and concentrates ,-9.58%,-0.0958,-0.3063383999999999,1,-0.2673333333333333,1,
2012, CENTERRA GOLD INC. , Canada , Mining of other non-ferrous metal ores and concentrates ,-22.27%,-0.2227,-0.3063383999999999,1,-0.28771052631578947,1,132.46346555323592
2013, CENTERRA GOLD INC. , Canada , Mining of other non-ferrous metal ores and concentrates ,-14.40%,-0.14400000000000002,-0.3063383999999999,1,-0.34987727272727265,1,-35.33902110462505
2014, CENTERRA GOLD INC. , Canada , Mining of other non-ferrous metal ores and concentrates ,-15.81%,-0.15810000000000002,-0.3063383999999999,1,-0.31503181818181814,1,9.791666666666664
2015, CENTERRA GOLD INC. , Canada , Mining of other non-ferrous metal ores and concentrates ,-13.13%,-0.1313,-0.3063383999999999,1,-0.31404347826086954,1,-16.95129664769135
2010, CENTRAL GLASS COMPANY LIMITED , Japan , Construction (45) ,-5.47%,-0.0547,-0.042405454545454566,-1,-0.06084310344827586,1,
2011, CENTRAL GLASS COMPANY LIMITED , Japan , Construction (45) ,-5.32%,-0.053200000000000004,-0.042405454545454566,-1,-0.036939285714285716,-1,-2.7422303473491616
2012, CENTRAL GLASS COMPANY LIMITED , Japan , Construction (45) ,-7.17%,-0.0717,-0.042405454545454566,-1,-0.01693731343283583,-1,34.77443609022555
2013, CENTRAL GLASS COMPANY LIMITED , Japan , Construction (45) ,-7.61%,-0.0761,-0.042405454545454566,-1,-0.041585135135135134,-1,6.136680613668055
2014, CENTRAL GLASS COMPANY LIMITED , Japan , Construction (45) ,-14.67%,-0.1467,-0.042405454545454566,-1,-0.04916707317073169,-1,92.77266754270697
2015, CENTRAL GLASS COMPANY LIMITED , Japan , Construction (45) ,-12.38%,-0.12380000000000001,-0.042405454545454566,-1,-0.04145624999999999,-1,-15.610088616223583
2010, CENTRAL JAPAN RAILWAY COMPANY , Japan , Transport via railways ,-2.24%,-0.022400000000000003,-0.030586206896551723,1,-0.02312,1,
2011, CENTRAL JAPAN RAILWAY COMPANY , Japan , Transport via railways ,-2.01%,-0.020099999999999996,-0.030586206896551723,1,-0.025099999999999997,1,-10.267857142857173
2012, CENTRAL JAPAN RAILWAY COMPANY , Japan , Transport via railways ,-2.18%,-0.0218,-0.030586206896551723,1,-0.024099999999999996,1,8.457711442786087
2013, CENTRAL JAPAN RAILWAY COMPANY , Japan , Transport via railways ,-2.93%,-0.029300000000000003,-0.030586206896551723,1,-0.03168,1,34.403669724770644
2014, CENTRAL JAPAN RAILWAY COMPANY , Japan , Transport via railways ,-3.42%,-0.0342,-0.030586206896551723,-1,-0.0381,1,16.72354948805459
2015, CENTRAL JAPAN RAILWAY COMPANY , Japan , Transport via railways ,-3.37%,-0.0337,-0.030586206896551723,-1,-0.03818,1,-1.4619883040935644
2016, CENTRAL JAPAN RAILWAY COMPANY , Japan , Transport via railways ,-3.10%,-0.031,-0.030586206896551723,-1,-0.02995,-1,-8.01186943620178
2012, CENTRAL PATTANA PUBLIC COMPANY LIMITED , Thailand , Real estate activities (70) ,-18.39%,-0.1839,-0.09353862275449104,-1,-0.08541800000000001,-1,
2013, CENTRAL PATTANA PUBLIC COMPANY LIMITED , Thailand , Real estate activities (70) ,-17.34%,-0.1734,-0.09353862275449104,-1,-0.08511311475409836,-1,-5.709624796084833
2014, CENTRAL PATTANA PUBLIC COMPANY LIMITED , Thailand , Real estate activities (70) ,-18.85%,-0.1885,-0.09353862275449104,-1,-0.08982537313432834,-1,8.708189158016143
2015, CENTRAL PATTANA PUBLIC COMPANY LIMITED , Thailand , Real estate activities (70) ,-10.67%,-0.1067,-0.09353862275449104,-1,-0.08339200000000001,-1,-43.39522546419098
2010," CENTURYLINK, INCORPORATION ", United States , Post and telecommunications (64) ,-6.12%,-0.061200000000000004,-0.018382111436950142,-1,-0.01888666666666667,-1,
2011," CENTURYLINK, INCORPORATION ", United States , Post and telecommunications (64) ,-3.67%,-0.036699999999999997,-0.018382111436950142,-1,-0.018784782608695653,-1,-40.0326797385621
2012," CENTURYLINK, INCORPORATION ", United States , Post and telecommunications (64) ,-3.55%,-0.0355,-0.018382111436950142,-1,-0.01632916666666667,-1,-3.2697547683923744
2013," CENTURYLINK, INCORPORATION ", United States , Post and telecommunications (64) ,-4.21%,-0.0421,-0.018382111436950142,-1,-0.01835,-1,18.591549295774644
2014," CENTURYLINK, INCORPORATION ", United States , Post and telecommunications (64) ,-4.20%,-0.042,-0.018382111436950142,-1,-0.01970491803278689,-1,-0.23752969121139111
2015," CENTURYLINK, INCORPORATION ", United States , Post and telecommunications (64) ,-3.92%,-0.0392,-0.018382111436950142,-1,-0.019518571428571434,-1,-6.666666666666677
2010, CEZ A.S , Czech Republic , Production of electricity nec ,-103.49%,-1.0349,-0.8072188235294113,-1,-0.7831026315789472,-1,
2011, CEZ A.S , Czech Republic , Production of electricity nec ,-102.55%,-1.0255,-0.8072188235294113,-1,-0.7256825,-1,-0.908300318871369
2012, CEZ A.S , Czech Republic , Production of electricity nec ,-75.49%,-0.7548999999999999,-0.8072188235294113,1,-0.7672023809523807,1,-26.387128230131662
2013, CEZ A.S , Czech Republic , Production of electricity nec ,-83.15%,-0.8315,-0.8072188235294113,-1,-0.7983071428571427,-1,10.147039342959353
2014, CEZ A.S , Czech Republic , Production of electricity nec ,-85.49%,-0.8549,-0.8072188235294113,-1,-0.7920975609756096,-1,2.8141912206855135
2015, CEZ A.S , Czech Republic , Production of electricity nec ,-87.62%,-0.8762000000000001,-0.8072188235294113,-1,-0.9181302325581396,1,2.4915194759621118
2016," CF INDUSTRIES HOLDINGS, INC. ", United States , N-fertiliser ,-162.93%,-1.6293,-0.30125199999999996,-1,-0.9275666666666668,-1,
2010, CGG SA , France ," Extraction of crude petroleum and services related to crude oil extraction, excluding surveying ",5.64%,0.0564,-0.19797100371747212,1,-0.13494857142857145,1,
2012, CGI INC , Canada , Computer and related activities (72) ,-0.62%,-0.0062,-0.007459477124183003,1,-0.007115384615384616,1,
2013, CGI INC , Canada , Computer and related activities (72) ,-0.23%,-0.0023,-0.007459477124183003,1,-0.008449019607843139,1,-62.903225806451616
2013, CHAMPION REAL ESTATE INVESTMENT TRUST , Hong Kong ," Financial intermediation, except insurance and pension funding (65) ",-4.97%,-0.049699999999999994,-0.0200715181932246,-1,-0.025626760563380282,-1,
2014, CHAMPION REAL ESTATE INVESTMENT TRUST , Hong Kong ," Financial intermediation, except insurance and pension funding (65) ",-2.33%,-0.0233,-0.0200715181932246,-1,-0.03286305732484076,1,-53.11871227364185
2015, CHAMPION REAL ESTATE INVESTMENT TRUST , Hong Kong ," Financial intermediation, except insurance and pension funding (65) ",-3.50%,-0.035,-0.0200715181932246,-1,-0.013258677685950414,-1,50.214592274678125
2013, CHARLES TAYLOR PLC , United Kingdom ," Insurance and pension funding, except compulsory social security (66) ",-0.34%,-0.0034000000000000002,-0.0017385416666666667,-1,-0.0017666666666666664,-1,
2014, CHARLES TAYLOR PLC , United Kingdom ," Insurance and pension funding, except compulsory social security (66) ",-0.42%,-0.0042,-0.0017385416666666667,-1,-0.001685,-1,23.529411764705866
2015, CHARLES TAYLOR PLC , United Kingdom ," Insurance and pension funding, except compulsory social security (66) ",-0.38%,-0.0038,-0.0017385416666666667,-1,-0.002052941176470588,-1,-9.523809523809524
2010, CHARTER HALL GROUP , Australia ," Financial intermediation, except insurance and pension funding (65) ",-17.35%,-0.17350000000000002,-0.0200715181932246,-1,-0.006401886792452835,-1,
2011, CHARTER HALL GROUP , Australia ," Financial intermediation, except insurance and pension funding (65) ",-29.96%,-0.29960000000000003,-0.0200715181932246,-1,-0.00983818181818182,-1,72.68011527377523
2012, CHARTER HALL GROUP , Australia ," Financial intermediation, except insurance and pension funding (65) ",-28.35%,-0.28350000000000003,-0.0200715181932246,-1,-0.024436799999999998,-1,-5.373831775700932
2013, CHARTER HALL GROUP , Australia ," Financial intermediation, except insurance and pension funding (65) ",-37.34%,-0.3734,-0.0200715181932246,-1,-0.025626760563380282,-1,31.71075837742503
2014, CHARTER HALL GROUP , Australia ," Financial intermediation, except insurance and pension funding (65) ",-43.08%,-0.43079999999999996,-0.0200715181932246,-1,-0.03286305732484076,-1,15.372254954472409
2010, CHARTER HALL RETAIL REIT , Australia ," Financial intermediation, except insurance and pension funding (65) ",-2.35%,-0.0235,-0.0200715181932246,-1,-0.006401886792452835,-1,
2011, CHC RESOURCES CORP , Taiwan , Quarrying of sand and clay ,-18.05%,-0.1805,-0.3842978947368422,1,-0.3821627906976745,1,
2012, CHC RESOURCES CORP , Taiwan , Quarrying of sand and clay ,-16.41%,-0.1641,-0.3842978947368422,1,-0.39569111111111105,1,-9.08587257617729
2013, CHC RESOURCES CORP , Taiwan , Quarrying of sand and clay ,-15.26%,-0.15259999999999999,-0.3842978947368422,1,-0.36756818181818185,1,-7.007921998781241
2014, CHC RESOURCES CORP , Taiwan , Quarrying of sand and clay ,-14.52%,-0.1452,-0.3842978947368422,1,-0.365275,1,-4.8492791612057555
2015, CHEMOURS CO , United States , Petroleum Refinery ,-66.94%,-0.6694,-0.31362627118644065,-1,-0.3700619047619047,-1,
2014, CHENG LOONG CORPORATION , Taiwan , Paper ,-31.67%,-0.31670000000000004,-0.22896460176991154,-1,-0.22371428571428573,-1,
2015, CHENG LOONG CORPORATION , Taiwan , Paper ,-33.89%,-0.3389,-0.22896460176991154,-1,-0.3026782608695653,-1,7.009788443321741
2014, CHENG MEI MATERIALS TECHNOLOGY CORP , Taiwan , Manufacture of electrical machinery and apparatus n.e.c. (31) ,-3.30%,-0.033,-0.06319178403755871,1,-0.06420581395348839,1,
2015, CHENG MEI MATERIALS TECHNOLOGY CORP , Taiwan , Manufacture of electrical machinery and apparatus n.e.c. (31) ,-4.18%,-0.0418,-0.06319178403755871,1,-0.07447191011235955,1,26.66666666666666
2012, CHENG SHIN RUBBER INDUSTRIES COMPANY LIMITED , Taiwan , Manufacture of rubber and plastic products (25) ,-1.54%,-0.0154,-0.03240547945205479,1,-0.03758333333333334,1,
2013, CHENG SHIN RUBBER INDUSTRIES COMPANY LIMITED , Taiwan , Manufacture of rubber and plastic products (25) ,-1.41%,-0.0141,-0.03240547945205479,1,-0.028799999999999996,1,-8.441558441558449
2014, CHENG SHIN RUBBER INDUSTRIES COMPANY LIMITED , Taiwan , Manufacture of rubber and plastic products (25) ,-1.50%,-0.015,-0.03240547945205479,1,-0.03198461538461538,1,6.382978723404253
2015, CHENG SHIN RUBBER INDUSTRIES COMPANY LIMITED , Taiwan , Manufacture of rubber and plastic products (25) ,-0.87%,-0.0087,-0.03240547945205479,1,-0.03640769230769231,1,-42.00000000000001
2010, CHEVRON CORPORATION , United States ," Extraction of crude petroleum and services related to crude oil extraction, excluding surveying ",-8.20%,-0.08199999999999999,-0.19797100371747212,1,-0.13494857142857145,1,
2011, CHEVRON CORPORATION , United States ," Extraction of crude petroleum and services related to crude oil extraction, excluding surveying ",-6.79%,-0.0679,-0.19797100371747212,1,-0.16747027027027023,1,-17.195121951219495
2012, CHEVRON CORPORATION , United States ," Extraction of crude petroleum and services related to crude oil extraction, excluding surveying ",-6.49%,-0.0649,-0.19797100371747212,1,-0.19493095238095237,1,-4.41826215022092
2013, CHEVRON CORPORATION , United States ," Extraction of crude petroleum and services related to crude oil extraction, excluding surveying ",-6.90%,-0.069,-0.19797100371747212,1,-0.20968444444444437,1,6.31741140215718
2014, CHEVRON CORPORATION , United States ," Extraction of crude petroleum and services related to crude oil extraction, excluding surveying ",-7.63%,-0.07629999999999999,-0.19797100371747212,1,-0.17749534883720927,1,10.579710144927512
2015, CHEVRON CORPORATION , United States ," Extraction of crude petroleum and services related to crude oil extraction, excluding surveying ",-11.60%,-0.11599999999999999,-0.19797100371747212,1,-0.25886415094339627,1,52.03145478374837
2010, CHICONY ELECTRONICS COMPANY LIMITED , Taiwan , Manufacture of office machinery and computers (30) ,-0.83%,-0.0083,-0.014735897435897436,1,-0.00976451612903226,1,
2011, CHICONY ELECTRONICS COMPANY LIMITED , Taiwan , Manufacture of office machinery and computers (30) ,-0.93%,-0.009300000000000001,-0.014735897435897436,1,-0.011394285714285714,1,12.048192771084354
2012, CHICONY ELECTRONICS COMPANY LIMITED , Taiwan , Manufacture of office machinery and computers (30) ,-0.85%,-0.0085,-0.014735897435897436,1,-0.01238235294117647,1,-8.602150537634412
2013, CHICONY ELECTRONICS COMPANY LIMITED , Taiwan , Manufacture of office machinery and computers (30) ,-1.16%,-0.0116,-0.014735897435897436,1,-0.016228205128205123,1,36.4705882352941
2014, CHICONY ELECTRONICS COMPANY LIMITED , Taiwan , Manufacture of office machinery and computers (30) ,-1.15%,-0.0115,-0.014735897435897436,1,-0.02130227272727273,1,-0.8620689655172376
2015, CHICONY ELECTRONICS COMPANY LIMITED , Taiwan , Manufacture of office machinery and computers (30) ,-0.82%,-0.008199999999999999,-0.014735897435897436,1,-0.014506666666666668,1,-28.695652173913054
2012, CHINA AIRLINES LIMITED , Taiwan , Air transport (62) ,-40.70%,-0.40700000000000003,-0.19551538461538465,-1,-0.17058888888888887,-1,
2013, CHINA AIRLINES LIMITED , Taiwan , Air transport (62) ,-43.80%,-0.43799999999999994,-0.19551538461538465,-1,-0.183245,-1,7.616707616707585
2014, CHINA AIRLINES LIMITED , Taiwan , Air transport (62) ,-46.57%,-0.4657,-0.19551538461538465,-1,-0.21016363636363639,-1,6.324200913242017
2015, CHINA AIRLINES LIMITED , Taiwan , Air transport (62) ,-53.40%,-0.534,-0.19551538461538465,-1,-0.19411153846153845,-1,14.666094051964794
2013, CHINA CHEMICAL AND PHARMACEUTICAL COMPANY LIMITED , Taiwan ," Manufacture of medical, precision and optical instruments, watches and clocks (33) ",-2.69%,-0.0269,-0.01728222891566265,-1,-0.01868518518518519,-1,
2014, CHINA CHEMICAL AND PHARMACEUTICAL COMPANY LIMITED , Taiwan ," Manufacture of medical, precision and optical instruments, watches and clocks (33) ",-2.59%,-0.0259,-0.01728222891566265,-1,-0.020036206896551726,-1,-3.7174721189591087
2015, CHINA CHEMICAL AND PHARMACEUTICAL COMPANY LIMITED , Taiwan ," Manufacture of medical, precision and optical instruments, watches and clocks (33) ",-2.31%,-0.0231,-0.01728222891566265,-1,-0.023799999999999995,1,-10.81081081081081
2016, CHINA CHEMICAL AND PHARMACEUTICAL COMPANY LIMITED , Taiwan ," Manufacture of medical, precision and optical instruments, watches and clocks (33) ",-2.62%,-0.0262,-0.01728222891566265,-1,-0.016542857142857144,-1,13.41991341991342
2015, CHINA COMMUNICATIONS SERVICES CORPORATION LTD , China , Construction (45) ,-0.80%,-0.008,-0.042405454545454566,1,-0.04145624999999999,1,
2011, CHINA EVERBRIGHT INTERNATIONAL LIMITED , Hong Kong , Real estate activities (70) ,-60.22%,-0.6022,-0.09353862275449104,-1,-0.12686428571428573,-1,
2013, CHINA EVERBRIGHT INTERNATIONAL LIMITED , Hong Kong , Real estate activities (70) ,-62.15%,-0.6214999999999999,-0.09353862275449104,-1,-0.08511311475409836,-1,3.204915310528067
2014, CHINA EVERBRIGHT INTERNATIONAL LIMITED , Hong Kong , Real estate activities (70) ,-65.78%,-0.6578,-0.09353862275449104,-1,-0.08982537313432834,-1,5.840707964601788
2015, CHINA EVERBRIGHT INTERNATIONAL LIMITED , Hong Kong , Real estate activities (70) ,-104.98%,-1.0498,-0.09353862275449104,-1,-0.08339200000000001,-1,59.59258133171177
2014, CHINA GENERAL PLASTICS CORPORATION , Taiwan ," Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c. ",-32.22%,-0.3222,-0.23060578947368415,-1,-0.23839714285714284,-1,
2015, CHINA GENERAL PLASTICS CORPORATION , Taiwan ," Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c. ",-35.63%,-0.3563,-0.23060578947368415,-1,-0.30302500000000004,-1,10.583488516449414
2013, CHINA GEZHOUBA GROUP COMPANY LIMITED , China , Construction (45) ,-40.99%,-0.40990000000000004,-0.042405454545454566,-1,-0.041585135135135134,-1,
2014, CHINA GEZHOUBA GROUP COMPANY LIMITED , China , Construction (45) ,-31.60%,-0.316,-0.042405454545454566,-1,-0.04916707317073169,-1,-22.90802634788973
2015, CHINA GEZHOUBA GROUP COMPANY LIMITED , China , Construction (45) ,-27.35%,-0.2735,-0.042405454545454566,-1,-0.04145624999999999,-1,-13.44936708860759
2015, CHINA GOLD INTERNATIONAL RESOURCES CORP LTD , Canada , Mining of other non-ferrous metal ores and concentrates ,-28.43%,-0.2843,-0.3063383999999999,1,-0.31404347826086954,1,
2016, CHINA GOLD INTERNATIONAL RESOURCES CORP LTD , Canada , Mining of other non-ferrous metal ores and concentrates ,-25.10%,-0.251,-0.3063383999999999,1,-0.2962285714285714,1,-11.712979247274003
2014, CHINA MAN MADE FIBER CORPORATION , Taiwan ," Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c. ",-21.25%,-0.2125,-0.23060578947368415,1,-0.23839714285714284,1,
2010, CHINA MOBILE LIMITED , Hong Kong , Post and telecommunications (64) ,-5.62%,-0.0562,-0.018382111436950142,-1,-0.01888666666666667,-1,
2011, CHINA MOBILE LIMITED , Hong Kong , Post and telecommunications (64) ,-4.00%,-0.04,-0.018382111436950142,-1,-0.018784782608695653,-1,-28.825622775800706
2012, CHINA MOBILE LIMITED , Hong Kong , Post and telecommunications (64) ,-4.00%,-0.04,-0.018382111436950142,-1,-0.01632916666666667,-1,0.0
